#,BEER,BREWERY,LOCATION,STYLE,SIZE,ABV,IBUs,Type
929,WET,Surly Brewing Company,"Brooklyn Center, MN",American IPA,16 oz.,7.50%,90,IPA
930,Whale's Tale Pale Ale,Cisco Brewers,"Nantucket, MA",English Pale Ale,12 oz.,5.60%,N/A,Ale
931,Wheat the People,Coalition Brewing Company,"Portland, OR",American Pale Wheat Ale,16 oz.,4.40%,13,Ale
932,White Ale,New South Brewing Company,"Myrtle Beach, SC",Witbier,12 oz.,4.60%,N/A,Other
933,White Rascal,Avery Brewing Company,"Boulder, CO",Witbier,12 oz.,5.60%,10,Other
934,White Thai,Westbrook Brewing Company,"Mt. Pleasant, SC",Witbier,12 oz.,5%,16,Other
935,White Water Wheat,Grand Canyon Brewing Company,"Williams, AZ",American Pale Wheat Ale,12 oz.,5%,N/A,Ale
936,White Zombie Ale,Catawba Valley Brewing Company,"Morganton, NC",Witbier,12 oz.,???,N/A,Other
937,Whitsun,Arcadia Brewing Company,"Battle Creek, MI",American Pale Wheat Ale,12 oz.,6.20%,17,Ale
938,Widespread Wit,Great River Brewery,"Davenport, IA",Witbier,16 oz.,5.50%,10,Other
939,Widow Maker Black Ale,Keweenaw Brewing Company,"Houghton, MI",American Brown Ale,12 oz.,???,N/A,Ale
940,Wild Onion Pumpkin Ale,The Wild Onion Brewing Company/T...,"Lake Barrington, IL",Pumpkin Ale,12 oz.,4.50%,N/A,Ale
941,Wild Onion Summer Wit,The Wild Onion Brewing Company/T...,"Lake Barrington, IL",Witbier,12 oz.,4.20%,N/A,Other
942,Wind River Blonde Ale,Wind River Brewing Company,"Pinedale, WY",American Blonde Ale,16 oz.,5%,N/A,Ale
943,Winter Solstice,Anderson Valley Brewing Company,"Boonville, CA",Winter Warmer,12 oz.,6.90%,6,Other
944,Winterfest,Sockeye Brewing Company,"Boise, ID",American Strong Ale,16 oz.,8.40%,90,Ale
945,WinterWonderGrass Festival Ale,Crazy Mountain Brewing Company,"Edwards, CO",American Amber / Red Ale,12 oz.,???,N/A,Ale
946,Wisco Disco,Stillmank Beer Company,"Green Bay, WI",American Amber / Red Ale,16 oz.,5.10%,31,Ale
947,Wisconsin Amber,Capital Brewery,"Middleton, WI",Vienna Lager,12 oz.,5.20%,N/A,Lager
948,Wisconsin Amber (1998),Capital Brewery,"Middleton, WI",Vienna Lager,12 oz.,5.20%,N/A,Lager
949,Wolf Among Weeds IPA,Golden Road Brewing,"Los Angeles, CA",American IPA,16 oz.,8%,70,IPA
950,Wood Splitter Pilsner,Bonfire Brewing Company,"Eagle, CO",Czech Pilsener,12 oz.,4.80%,N/A,Other
951,Woodchuck Amber Hard Cider,Woodchuck Hard Cider,"Middlebury, VT",Cider,12 oz.,5%,N/A,Other
952,Woolybugger Wheat,Sockeye Brewing Company,"Boise, ID",American Pale Wheat Ale,12 oz.,4.60%,12,Ale
953,Workers Comp Saison,Two Roads Brewing Company,"Stratford, CT",Saison / Farmhouse Ale,12 oz.,4.80%,N/A,Ale
954,WYLD Extra Pale Ale,Uinta Brewing Company,"Salt Lake City, UT",American Pale Ale (APA),12 oz.,4%,29,Ale
